what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1316895550636
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895554173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895555336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1316895569450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895571079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895574602
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1316895585511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895587261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895587395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1316895588807
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1316895593411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895594693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895594836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1316895595660
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1316895600932
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316895613107
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895618509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895624465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1316895638713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895639845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895692823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1316895742485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1316895744343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1316895758440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1316895760721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1316895773290
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1316895800860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895819574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895846664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895848239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895932282
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316895935232
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1316895939528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895943194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895946331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895952235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895970398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895974734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895979135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895980468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895982412
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316895985461
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316895985533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895987799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316895989873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896006089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896013052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896016049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896021722
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1316896022997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896025785
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896044189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896049041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896057874
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316896057894
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1316896060212
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316896085403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896088988
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316896090302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896090446
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1316896090452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1316896090452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896091325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896091931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896093087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896151447
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316896152518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896158574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316896164248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1316896208870
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1316896211535
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1316896220490
